time	clr	din		write	read	full	empty	dout
VCD info: dumpfile fifo.vcd opened for output.
 0	1	xxxxxxxx	0	0	0	1	xxxxxxxx
20	0	11100001	0	0	0	1	xxxxxxxx
25	0	11100001	1	0	0	1	xxxxxxxx
35	0	11100001	0	0	0	0	11100001
40	0	11100010	0	0	0	0	11100001
45	0	11100010	1	0	0	0	11100001
55	0	11100010	0	0	0	0	11100001
60	0	11100011	0	0	0	0	11100001
65	0	11100011	1	0	0	0	11100001
75	0	11100011	0	0	0	0	11100001
80	0	11100100	0	0	0	0	11100001
85	0	11100100	1	0	0	0	11100001
95	0	11100100	0	0	1	0	11100001
105	0	11100100	0	1	1	1	11100001
115	0	11100100	0	0	0	0	11100010
125	0	11100100	0	1	0	1	11100010
135	0	11100100	0	0	0	0	11100011
145	0	11100100	0	1	0	1	11100011
155	0	11100100	0	0	0	0	11100100
165	0	11100100	0	1	0	1	11100100
175	0	11100100	0	0	0	1	11100100

