time	di	load	clk	clrn	d	q	do
VCD info: dumpfile mystery.vcd opened for output.
 0	0	0	0	0	010	xxx	x
 1	0	0	1	0	010	0xx	x
 2	0	0	0	0	010	0xx	x
 3	0	0	1	0	010	00x	x
 4	0	0	0	0	010	00x	x
 5	0	0	1	0	010	000	0
 6	1	0	0	0	001	000	0
 7	1	0	1	0	001	100	0
 8	1	0	0	0	001	100	0
 9	1	0	1	0	001	110	0
10	1	0	0	0	001	110	0
11	1	0	1	0	001	111	1
12	0	0	0	0	000	111	1
13	0	0	1	0	000	011	1
14	0	0	0	0	000	011	1
15	0	0	1	0	000	001	1
16	0	0	0	0	000	001	1
17	0	0	1	0	000	000	0
18	1	0	0	0	111	000	0
19	1	0	1	0	111	100	0
20	1	1	0	0	111	100	0
21	1	1	1	0	111	111	1
22	1	1	0	0	111	111	1
23	1	1	1	0	111	111	1
24	0	1	0	0	110	111	1
25	0	1	1	0	110	110	0
26	0	1	0	0	110	110	0
27	0	1	1	0	110	110	0
28	0	1	0	0	110	110	0
29	0	1	1	0	110	110	0
30	1	1	0	0	101	110	0
31	1	1	1	0	101	101	1
32	1	1	0	0	101	101	1
33	1	1	1	0	101	101	1
34	1	1	0	0	101	101	1
35	1	1	1	0	101	101	1
36	0	1	0	0	100	101	1
37	0	1	1	0	100	100	0
38	0	1	0	0	100	100	0
39	0	1	1	0	100	100	0
40	0	0	0	0	100	100	0

