time	clk	reset	x1	x2	x3	state	z1	z2	z3
VCD info: dumpfile seven.vcd opened for output.
 0	1	0	0	0	0	xxx	x	x	x
 1	0	0	0	0	0	xxx	x	x	x
 2	1	0	1	0	0	000	0	0	0
 3	0	0	1	0	0	000	0	0	0
 4	1	0	0	1	0	001	0	0	0
 5	0	0	0	1	0	001	0	0	0
 6	1	0	0	0	0	010	1	0	0
 7	0	0	0	0	0	010	1	0	0
 8	1	0	0	0	0	000	0	0	0
 9	0	0	0	0	0	000	0	0	0
10	1	0	0	1	1	101	0	0	0
11	0	0	0	1	1	101	0	0	0
12	1	0	0	1	1	100	0	1	0
13	0	0	0	1	1	100	0	1	0
14	1	0	0	0	1	000	0	0	0
15	0	0	0	0	1	000	0	0	0
16	1	0	0	0	0	101	0	0	0
17	0	0	0	0	0	101	0	0	0
18	1	0	0	0	0	111	0	0	1
19	0	0	0	0	0	111	0	0	1
20	1	0	0	0	0	000	0	0	0

