time	clk	reset	left	right	state	lc	lb	la	ra	rb	rc
VCD info: dumpfile thunder.vcd opened for output.
 0	0	0	0	0	xxx	x	x	x	x	x	x
 1	1	0	0	0	000	0	0	0	0	0	0
 2	0	0	0	0	000	0	0	0	0	0	0
 3	1	0	1	0	001	0	0	1	0	0	0
 4	0	0	0	0	001	0	0	1	0	0	0
 5	1	0	0	0	010	0	1	1	0	0	0
 6	0	0	0	0	010	0	1	1	0	0	0
 7	1	0	0	0	011	1	1	1	0	0	0
 8	0	0	0	0	011	1	1	1	0	0	0
 9	1	0	0	0	000	0	0	0	0	0	0
10	0	0	0	0	000	0	0	0	0	0	0
11	1	0	0	1	100	0	0	0	1	0	0
12	0	0	0	0	100	0	0	0	1	0	0
13	1	0	0	0	101	0	0	0	1	1	0
14	0	0	0	0	101	0	0	0	1	1	0
15	1	0	0	0	110	0	0	0	1	1	1
16	0	0	0	0	110	0	0	0	1	1	1
17	1	0	0	0	000	0	0	0	0	0	0
18	0	0	0	0	000	0	0	0	0	0	0
19	1	0	1	1	111	1	1	1	1	1	1
20	0	0	0	0	111	1	1	1	1	1	1
21	1	0	0	0	000	0	0	0	0	0	0
22	0	0	0	0	000	0	0	0	0	0	0
23	1	0	1	0	001	0	0	1	0	0	0
24	0	0	0	0	001	0	0	1	0	0	0
25	1	1	0	0	000	0	0	0	0	0	0
26	0	0	0	0	000	0	0	0	0	0	0

